market_id,strategy,side,entry_time,entry_price,shares,exit_time,exit_price,fee_paid,pnl,reason
2934325,S32_MOMENTUM_Mode,NO,1784203261.226152,0.580000,5,1784203499.906016,1.000000,0.043022,2.056978,momentum vel=-0.130 delta=-0.0332% sustain=4
2934344,S32_MOMENTUM_Mode,NO,1784203786.220631,0.590000,5,1784203799.905116,0.000000,0.043155,-2.993155,momentum vel=-0.060 delta=-0.0367% sustain=4
2934379,S32_MOMENTUM_Mode,NO,1784204532.816443,0.620000,5,1784204699.949445,1.000000,0.043018,1.856982,momentum vel=-0.050 delta=-0.0327% sustain=4
2934397,S32_MOMENTUM_Mode,NO,1784205208.908117,0.680000,5,1784205299.994984,1.000000,0.040247,1.559753,momentum vel=-0.070 delta=-0.0355% sustain=4
2934730,S32_MOMENTUM_Mode,YES,1784208716.089128,0.670000,5,1784208899.983656,1.000000,0.040941,1.609059,momentum vel=0.050 delta=0.0476% sustain=4
2934777,S32_MOMENTUM_Mode,YES,1784208956.229172,0.730000,5,1784209199.984145,0.000000,0.035449,-3.685449,momentum vel=0.060 delta=0.0717% sustain=4
2934831,S32_MOMENTUM_Mode,NO,1784209721.461942,0.670000,5,1784209799.95927,0.000000,0.040941,-3.390941,momentum vel=-0.070 delta=-0.0546% sustain=4
2934922,S32_MOMENTUM_Mode,NO,1784211068.330368,0.600000,5,1784211299.965166,0.000000,0.043200,-3.043200,momentum vel=-0.070 delta=-0.0448% sustain=4
2934932,S32_MOMENTUM_Mode,NO,1784211547.761339,0.680000,5,1784211600.000436,0.000000,0.040247,-3.440247,momentum vel=-0.170 delta=-0.0535% sustain=4
2934977,S32_MOMENTUM_Mode,NO,1784212458.486386,0.550000,5,1784212499.981085,1.000000,0.042114,2.207886,momentum vel=-0.120 delta=-0.0393% sustain=4
2935060,S32_MOMENTUM_Mode,NO,1784213341.372928,0.730000,5,1784213399.95051,1.000000,0.035449,1.314551,momentum vel=-0.090 delta=-0.0456% sustain=4
